name,description,publisher,date_published,documentation_url,data_url,license,license_url,topic,row,example
WONINGWAARDE 2018 INFLATIE,Amsterdam property values [FIXME: we will not use GIS],Gemeente Amsterdam,2018,https://maps.amsterdam.nl/open_geodata/?k=52,https://maps.amsterdam.nl/woningwaarde/WONINGWAARDE.ZIP,open data,https://maps.amsterdam.nl/open_geodata/terms.php?LANG=en,"geo, real estate",2029,
Habitatges d'ús turístic de la ciutat de Barcelona,Tourist accommodation addresses in Barcelona,Ajuntament de Barcelona,2016,https://opendata-ajuntament.barcelona.cat/data/ca/dataset/habitatges-us-turistic,,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,"geo, real estate, tourism",50000,
Liste der verbannten Bücher,List of book titles prohibited by Nazis,BerlinOnline Stadtportal GmbH & Co KG,2018,https://daten.berlin.de/datensaetze/liste-der-verbannten-b%C3%BCcher-0,https://www.berlin.de/berlin-im-ueberblick/geschichte/berlin-im-nationalsozialismus/verbannte-buecher/suche/index.php/index/all.csv?q=,CC-BY-3.0,,"history, text",4762,
Datos estadísticos de Comercio Exterior,External trade statistics of Spanish Customs Office,Agencia Estatal de Administración Tributaria,2019,https://datos.gob.es/catalogo/e00004401-estadistica-de-comercio-exterior,https://www.agenciatributaria.es/AEAT.internet/Inicio/La_Agencia_Tributaria/Memorias_y_estadisticas_tributarias/Estadisticas/_Comercio_exterior_/Datos_estadisticos/Descarga_de_Datos_Estadisticos/Descarga_de_Datos_Estadisticos.shtml,,http://www.agenciatributaria.es/AEAT.internet/datosabiertos/Condiciones_generales_de_reutilizacion.shtml,"trade, transaction",40000000,yes
OffeneRegister.de,German company register data,Open Knowledge Foundation Deutschland e.V.,2019,https://offeneregister.de/#,https://daten.offeneregister.de/de_companies_ocdata.jsonl.bz2,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,"corporate, person",5000000,
National Bridge Inventory,Geocoordinates and structural state of all highway bridges in the U.S.,Federal Highway Administration of the U.S. Department of Transportation,2019,https://www.fhwa.dot.gov/bridge/nbi.cfm,,,,"geo, infrastructure",728279,
Tenders Electronic Daily,Public procurement notices,European Commission,2018,https://data.europa.eu/euodp/en/data/dataset/ted-csv/resource/99798664-6cf7-4429-b53c-4ecac59f1b6a,https://data.europa.eu/euodp/en/data/dataset/ted-csv,CC-BY-4.0,https://ec.europa.eu/info/legal-notice_en,"government, corporate",810000,
Government Compensation in California,Salary of every public employee in California,California State Controller,2019,https://publicpay.ca.gov/,https://publicpay.ca.gov/Reports/RawExport.aspx,public domain,https://publicpay.ca.gov/About.aspx,"worker, salary",2000000,
Street Tree Census,Tree data collected by volunteers about individual trees in NYC,NYC Department of Parks and Recreation,2016,https://www.nycgovparks.org/trees/treescount,https://data.cityofnewyork.us/Environment/2015-Street-Tree-Census-Tree-Data/uvpi-gqnh,open data,,"tree, geo",684000,
NYPD Motor Vehicle Collisions - Crashes,Time and location of NYC motor vehicle accidents,New York Police Department,2014,https://data.cityofnewyork.us/Public-Safety/NYPD-Motor-Vehicle-Collisions-Crashes/h9gi-nx95,https://data.cityofnewyork.us/Public-Safety/NYPD-Motor-Vehicle-Collisions-Crashes/h9gi-nx95,open data,,"geo, traffic, accident",1570000,
TLC Trip Records Data,"Pickup and dropoff location, time and charge of each NYC taxi trip",NYC Taxi and Limousine Commission,2019,https://www1.nyc.gov/site/tlc/about/tlc-trip-record-data.page,,open data,,"geo, traffic",8900000,
Airline Origin and Destination Survey (DB1B),"The Airline Origin and Destination Survey (DB1B) is a 10% sample of airline tickets from reporting carriers collected by the Office of Airline Information of the Bureau of Transportation Statistics. Data includes origin, destination and other itinerary details of passengers transported. This database is used to determine air traffic patterns, air carrier market shares and passenger flows.",Bureau of Transportation Statistics,2019,https://www.transtats.bts.gov/DatabaseInfo.asp?DB_ID=125,,,,,,
